WHONET_ORG_CODE	REPLACED_BY	ORGANISM	TAXONOMIC_STATUS	COMMON	ORGANISM_TYPE	ANAEROBE	MORPHOLOGY	SUBKINGDOM_CODE	FAMILY_CODE	GENUS_GROUP	GENUS_CODE	SPECIES_GROUP	SEROVAR_GROUP	MSF_GRP_CLIN	SCT_CODE	SCT_TEXT	GBIF_TAXON_ID	GBIF_DATASET_ID	GBIF_TAXONOMIC_STATUS	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
saj		Abiotrophia adiacens	O		+			+			GCT			OTH	113713009	Granulicatella adiacens	3227166	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
sdf		Abiotrophia defectiva	C		+			+			ABI			OTH	113714003	Abiotrophia defectiva	3227009	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia
abi		Abiotrophia sp.	C		+			+			ABI			OTH	372391001	Abiotrophia species	3227008	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia
acf		Absidia corimbifera	O		f						LIC						2558326	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Zygomycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia
abs		Absidia sp.	C		f						ABS				404226006	Absidia species	2558224	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Fungi	Zygomycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Absidia
acn		Acanthamoeba sp.	C		w						ACN				372401005	Acanthamoeba species	7237940	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Protozoa	Amoebozoa	Lobosa	Amoebida	Acanthamoebidae	Acanthamoeba
avb		Acetivibrio sp.	C		a	X		+			AVB			OTH	131199002	Acetivibrio species	3226685	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetivibrio
ace		Acetobacterium sp.	C		a	X		+			ACE			OTH	423008000	Acetobacterium	3226379	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Acetobacterium
acp		Acholeplasma sp.	C		b			+			ACP			OTH	131200004	Acholeplasma species	3236947	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Tenericutes		Acholeplasmatales	Acholeplasmataceae	Acholeplasma
ade		Achromobacter denitrificans	C		-			-		NFR	ACH			OTH	413414001	Achromobacter denitrificans	3219786	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
api		Achromobacter piechaudii	C		-			-		NFR	ACH			OTH			3219790	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
ach		Achromobacter sp.	C		-			-		NFR	ACH			OTH	413423003	Achromobacter species	3219782	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
ade		Achromobacter xylosoxidans ss. denitrificans	O		-			-		NFR	ACH			OTH	413414001	Achromobacter denitrificans	3219786	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
axy		Achromobacter xylosoxidans ss. xylosoxidans	C		-			-		NFR	ACH			OTH	413415000	Achromobacter xylosoxidans xylosoxidans	3219795	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
afb		Acid fast bacilli	C		m									OTH	243365003	Acid-fast bacillus									
afe		Acidaminococcus fermentans	C		a	X		+			ACD			OTH	63005002	Acidaminococcus fermentans	3226305	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus
acd		Acidaminococcus sp.	C		a	X		+			ACD			OTH	131202007	Acidaminococcus species	3226304	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus
adf		Acidovorax delafieldii	C		-			-		NFR	ACX			OTH	113685003	Acidovorax delafieldii	3220141	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
afc		Acidovorax facilis	C		-			-		NFR	ACX			OTH	113686002	Acidovorax facilis	3220143	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
acx		Acidovorax sp.	C		-			-		NFR	ACX			OTH	115153000	Acidovorax	3220140	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
atm		Acidovorax temperans	C		-			-		NFR	ACX			OTH	113687006	Acidovorax temperans	3220149	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
aan		Acinetobacter anitratus	C		-			-		NFR	AC-				7757008	Acinetobacter									
aba		Acinetobacter baumannii	C	X	-			-		NFR	AC-	ABX		NFG-	91288006	Acinetobacter baumannii	3223274	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aby		Acinetobacter baylyi	C		-			-		NFR	AC-			NFG-	423974000	Acinetobacter baylyi	3223268	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
aca		Acinetobacter calcoaceticus	C		-			-		NFR	AC-	ABX		NFG-	82550008	Acinetobacter calcoaceticus	3223271	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
alw		Acinetobacter calcoaceticus var. lwoffii	O		-			-		NFR	AC-			NFG-	83088009	Acinetobacter lwoffi	9200754	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
abx		Acinetobacter calcoaceticus-baumannii complex	C		-			-		NFR	AC-	ABX		NFG-	82550008	Acinetobacter calcoaceticus									
adi		Acinetobacter dijkshoorniae	C		-			-		NFR	AC-	ABX		NFG-	787183008	Acinetobacter lactucae	9627689	52a423d2-0486-4e77-bcee-6350d708d6ff	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ano		Acinetobacter genospecies 13TU	O		-			-		NFR	AC-	ABX		NFG-	708859003	Acinetobacter nosocomialis	8240312	7ddf754f-d193-4cc9-b351-99906754a03b	accepted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
