GUIDELINE	YEAR	STRAIN	REFERENCE_TABLE	WHONET_ORG_CODE	ANTIBIOTIC	ABX_TEST	WHONET_ABX_CODE	METHOD	MEDIUM	MINIMUM	MAXIMUM	DATE_ENTERED	DATE_MODIFIED	COMMENTS
CLSI	2013	atcc25285	Table 4E	bfr	Ticarcillin/Clavulanic acid	TCC_NM	TCC	MIC	Broth	0.06	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Tigecycline	TGC_NM	TGC	MIC	Broth	0.06	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Tigecycline	TGC_NM	TGC	MIC	Agar	0.12	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ampicillin/Sulbactam	SAM_ND10	SAM	Disk	MH	19	24	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Carbenicillin	CRB_ND100	CRB	Disk	MH	23	29	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Cefamandole	MAN_ND30	MAN	Disk	MH	26	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Cefazolin	CZO_ND30	CZO	Disk	MH	21	27	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Cefditoren	DIT_ND5	DIT	Disk	MH	22	28	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Cefepime	FEP_ND30	FEP	Disk	MH	31	37	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Cefotaxime	CTX_ND30	CTX	Disk	MH	29	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Cefotetan	CTT_ND30	CTT	Disk	MH	28	34	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Cefoxitin	FOX_ND30	FOX	Disk	MH	23	29	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Cefprozil	PRO_ND30	PRO	Disk	MH	21	27	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ceftaroline	CPT_ND30	CPT	Disk	MH	26	34	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ceftazidime/Avibactam	CZA_ND30	CZA	Disk	MH	27	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ceftibuten	CTB_ND10	CTB	Disk	MH	27	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922		eco	Ceftiofur	TIO_ND30	TIO	Disk	MH	26	31	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ceftizoxime	CZX_ND30	CZX	Disk	MH	30	36	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Ceftriaxone	CRO_ND30	CRO	Disk	MH	29	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Cefuroxime	CXM_ND30	CXM	Disk	MH	20	26	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Danofloxacin	DFX_ND5	DFX	Disk	MH	29	36	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Difloxacin	DIF_ND10	DIF	Disk	MH	28	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Doripenem	DOR_ND10	DOR	Disk	MH	27	35	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Doxycycline	DOX_ND30	DOX	Disk	MH	18	24	2021-01-01	2021-01-01	
CLSI	2013	atcc25922	Table 3A	eco	Enoxacin	ENX_ND10	ENX	Disk	MH	28	36	2021-01-01	2021-01-01	
CLSI	2013	atcc22019	Fungus	cpa	Fluconazole	FLU_ND25	FLU	Disk		22	33	2021-01-01	2021-01-01	
CLSI	2013	atcc22019	Fungus	cpa	Voriconazole	VOR_ND1	VOR	Disk		28	37	2021-01-01	2021-01-01	
CLSI	2013	atcc22019	Fungus	cpa	5-Fluorocytosine	FCT_NM	FCT	MIC		0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc22019	Fungus	cpa	Fluconazole	FLU_NM	FLU	MIC		2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc22019	Fungus	cpa	Itraconazole	ITR_NM	ITR	MIC		0.06	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc22019	Fungus	cpa	Ketoconazole	KET_NM	KET	MIC		0.06	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc24433	Fungus	cal	5-Fluorocytosine	FCT_NM	FCT	MIC		1	4	2021-01-01	2021-01-01	
CLSI	2013	atcc24433	Fungus	cal	Fluconazole	FLU_NM	FLU	MIC		0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Ampicillin/Sulbactam	SAM_NM	SAM	MIC	Broth	0.5	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Ampicillin/Sulbactam	SAM_NM	SAM	MIC	Agar	0.5	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Cefotaxime	CTX_NM	CTX	MIC	Agar	8	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Cefotetan	CTT_NM	CTT	MIC	Broth	1	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Cefotetan	CTT_NM	CTT	MIC	Agar	4	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Cefoxitin	FOX_NM	FOX	MIC	Broth	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Cefoxitin	FOX_NM	FOX	MIC	Agar	4	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Ceftaroline	CPT_NM	CPT	MIC	Broth	2	16	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Ceftaroline	CPT_NM	CPT	MIC	Agar	4	32	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Ceftriaxone	CRO_NM	CRO	MIC	Agar	32	128	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Doripenem	DOR_NM	DOR	MIC	Broth	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Ertapenem	ERT_NM	ERT	MIC	Broth	0.06	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Ertapenem	ERT_NM	ERT	MIC	Agar	0.06	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Faropenem	FAR_NM	FAR	MIC	Broth	0.015	0.064	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Faropenem	FAR_NM	FAR	MIC	Agar	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Finafloxacin	FIN_NM	FIN	MIC	Agar	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Garenoxacin	GRN_NM	GRN	MIC	Broth	0.06	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Garenoxacin	GRN_NM	GRN	MIC	Agar	0.06	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Imipenem	IPM_NM	IPM	MIC	Broth	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Imipenem	IPM_NM	IPM	MIC	Agar	0.03	0.125	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Linezolid	LNZ_NM	LNZ	MIC	Broth	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Linezolid	LNZ_NM	LNZ	MIC	Agar	2	8	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Meropenem	MEM_NM	MEM	MIC	Broth	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Meropenem	MEM_NM	MEM	MIC	Agar	0.03	0.25	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Metronidazole	MTR_NM	MTR	MIC	Broth	0.25	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Metronidazole	MTR_NM	MTR	MIC	Agar	0.25	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Mezlocillin	MEZ_NM	MEZ	MIC	Agar	16	64	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Moxifloxacin	MFX_NM	MFX	MIC	Broth	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Moxifloxacin	MFX_NM	MFX	MIC	Agar	0.12	0.5	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Omadacycline	OMC_NM	OMC	MIC	Broth	0.12	1	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4D	bfr	Omadacycline	OMC_NM	OMC	MIC	Agar	0.25	2	2021-01-01	2021-01-01	
CLSI	2013	atcc25285	Table 4E	bfr	Penicillin	PEN_NM	PEN	MIC	Broth	8	32	2021-01-01	2021-01-01	
