SEROTYPE	ORGANISM	SEROGROUP	SUBSPECIES	O_ANTIGENS	H_PHASE_1	H_PHASE_2	X997_CHECK	FATE
Escherichia coli	eco							
Escherichia coli serogroup O1	eco	O1						
Escherichia coli serogroup O2	eco	O2						
Escherichia coli serogroup O4	eco	O4						
Escherichia coli serogroup O5	eco	O5						
Escherichia coli serogroup O6	eco	O6						
Escherichia coli serogroup O7	eco	O7						
Escherichia coli serogroup O8	eco	O8						
Escherichia coli serogroup O9	eco	O9						
Escherichia coli serogroup O11	eco	O11						
Escherichia coli serogroup O15	eco	O15						
Escherichia coli serogroup O16	eco	O16						
Escherichia coli serogroup O18	eco	O18						
Escherichia coli serogroup O20	eco	O20						
Escherichia coli serogroup O22	eco	O22						
Escherichia coli serogroup O25	eco	O25						
Escherichia coli serogroup O26	eco	O26						
Escherichia coli serogroup O27	eco	O27						
Escherichia coli serogroup O28	eco	O28						
Escherichia coli serogroup O35	eco	O35						
Escherichia coli serogroup O44	eco	O44						
Escherichia coli serogroup O45	eco	O45						
Escherichia coli serogroup O46	eco	O46						
Escherichia coli serogroup O48	eco	O48						
Escherichia coli serogroup O55	eco	O55						
Escherichia coli serogroup O75	eco	O75						
Escherichia coli serogroup O77	eco	O77						
Escherichia coli serogroup O78	eco	O78						
Escherichia coli serogroup O86	eco	O86						
Escherichia coli serogroup O91	eco	O91						
Escherichia coli serogroup O98	eco	O98						
Escherichia coli serogroup O101	eco	O101						
Escherichia coli serogroup O103	eco	O103						
Escherichia coli serogroup O111	eco	O111						
Escherichia coli serogroup O112	eco	O112						
Escherichia coli serogroup O113	eco	O113						
Escherichia coli serogroup O114	eco	O114						
Escherichia coli serogroup O115	eco	O115						
Escherichia coli serogroup O117	eco	O117						
Escherichia coli serogroup O118	eco	O118						
Escherichia coli serogroup O119	eco	O119						
Escherichia coli serogroup O124	eco	O124						
Escherichia coli serogroup O125	eco	O125						
Escherichia coli serogroup O126	eco	O126						
Escherichia coli serogroup O127	eco	O127						
Escherichia coli serogroup O128	eco	O128						
Escherichia coli serogroup O136	eco	O136						
Escherichia coli serogroup O137	eco	O137						
Escherichia coli serogroup O138	eco	O138						
Escherichia coli serogroup O139	eco	O139						
Escherichia coli serogroup O141	eco	O141						
Escherichia coli serogroup O142	eco	O142						
Escherichia coli serogroup O143	eco	O143						
Escherichia coli serogroup O144	eco	O144						
Escherichia coli serogroup O145	eco	O145						
Escherichia coli serogroup O148	eco	O148						
Escherichia coli serogroup O149	eco	O149						
Escherichia coli serogroup O152	eco	O152						
Escherichia coli serogroup O157	eco	O157						
Escherichia coli serogroup O158	eco	O158						
Escherichia coli serogroup O159	eco	O159						
Escherichia coli serogroup O167	eco	O167						
Escherichia coli serogroup O172	eco	O172						
Escherichia coli serogroup O173	eco	O173						
Escherichia coli serotype O1:H-	eco	O1						
Escherichia coli serotype O1:H4	eco	O1						
Escherichia coli serotype O1:H6	eco	O1						
Escherichia coli serotype O1:H7	eco	O1						
Escherichia coli serotype O2:H1	eco	O2						
Escherichia coli serotype O2:H4	eco	O2						
Escherichia coli serotype O2:H6	eco	O2						
Escherichia coli serotype O4:H-	eco	O4						
Escherichia coli serotype O4:H5	eco	O4						
Escherichia coli serotype O5:H-	eco	O5						
Escherichia coli serotype O6:H1	eco	O6						
Escherichia coli serotype O6:H16	eco	O6						
Escherichia coli serotype O7:H-	eco	O7						
Escherichia coli serotype O7:H4	eco	O7						
Escherichia coli serotype O7:H6	eco	O7						
Escherichia coli serotype O8:H19	eco	O8						
Escherichia coli serotype O8:H9	eco	O8						
Escherichia coli serotype O9:H-	eco	O9						
Escherichia coli serotype O11:H27	eco	O11						
Escherichia coli serotype O15:H-	eco	O15						
Escherichia coli serotype O15:H11	eco	O15						
Escherichia coli serotype O16:H6	eco	O16						
Escherichia coli serotype O18a,c:H-	eco	O18						
Escherichia coli serotype O18a,c:H7	eco	O18						
Escherichia coli serotype O20:H-	eco	O20						
Escherichia coli serotype O20:H26	eco	O20						
Escherichia coli serotype O20:H34	eco	O20						
Escherichia coli serotype O22:H1	eco	O22						
Escherichia coli serotype O25:H-	eco	O25						
Escherichia coli serotype O25:H1	eco	O25						
Escherichia coli serotype O25:H42	eco	O25						
Escherichia coli serotype O26:H-	eco	O26						
Escherichia coli serotype O26:H11	eco	O26						
Escherichia coli serotype O26:H21	eco	O26						
Escherichia coli serotype O26:H32	eco	O26						
Escherichia coli serotype O27:H7	eco	O27						
Escherichia coli serotype O28:H-	eco	O28						
Escherichia coli serotype O44:H34	eco	O44						
Escherichia coli serotype O45:H-	eco	O45						
Escherichia coli serotype O46:H31	eco	O46						
Escherichia coli serotype O48:H21	eco	O48						
Escherichia coli serotype O55:H-	eco	O55						
Escherichia coli serotype O55:H6	eco	O55						
Escherichia coli serotype O55:H7	eco	O55						
Escherichia coli serotype O75:H-	eco	O75						
Escherichia coli serotype O75:H5	eco	O75						
Escherichia coli serotype O77:H18	eco	O77						
Escherichia coli serotype O78:H11	eco	O78						
Escherichia coli serotype O78:H12	eco	O78						
Escherichia coli serotype O86:H-	eco	O86						
Escherichia coli serotype O86:H27	eco	O86						
Escherichia coli serotype O86:H34	eco	O86						
Escherichia coli serotype O91:H-	eco	O91						
Escherichia coli serotype O91:H10	eco	O91						
Escherichia coli serotype O91:H21	eco	O91						
Escherichia coli serotype O91:H7	eco	O91						
Escherichia coli serotype O98:H-	eco	O98						
Escherichia coli serotype O101:H-	eco	O101						
Escherichia coli serotype O103:H2	eco	O103						
Escherichia coli serotype O111:H-	eco	O111						
Escherichia coli serotype O111:H12	eco	O111						
Escherichia coli serotype O111:H2	eco	O111						
Escherichia coli serotype O111:H8	eco	O111						
Escherichia coli serotype O112a,c:H-	eco	O112						
Escherichia coli serotype O113:H21	eco	O113						
Escherichia coli serotype O114:H10	eco	O114						
Escherichia coli serotype O114:H32	eco	O114						
Escherichia coli serotype O117:H14	eco	O117						
Escherichia coli serotype O118:H12	eco	O118						
Escherichia coli serotype O119:H-	eco	O119						
Escherichia coli serotype O119:H6	eco	O119						
Escherichia coli serotype O124:H-	eco	O124						
Escherichia coli serotype O124:H30	eco	O124						
Escherichia coli serotype O124:H32	eco	O124						
Escherichia coli serotype O125:H-	eco	O125						
Escherichia coli serotype O125:H21	eco	O125						
Escherichia coli serotype O126:27	eco	O126						
Escherichia coli serotype O126:H-	eco	O126						
Escherichia coli serotype O126:H2	eco	O126						
Escherichia coli serotype O126:H8	eco	O126						
Escherichia coli serotype O127:H-	eco	O127						
Escherichia coli serotype O127:H2	eco	O127						
Escherichia coli serotype O127:H21	eco	O127						
Escherichia coli serotype O127:H40	eco	O127						
Escherichia coli serotype O127:H9	eco	O127						
Escherichia coli serotype O128:H-	eco	O128						
Escherichia coli serotype O128:H12	eco	O128						
Escherichia coli serotype O128:H2	eco	O128						
Escherichia coli serotype O128:H7	eco	O128						
Escherichia coli serotype O128:H8	eco	O128						
Escherichia coli serotype O136:H-	eco	O136						
Escherichia coli serotype O138:H-	eco	O138						
Escherichia coli serotype O138:H14	eco	O138						
Escherichia coli serotype O139:H1	eco	O139						
Escherichia coli serotype O141:H4	eco	O141						
Escherichia coli serotype O142:H6	eco	O142						
Escherichia coli serotype O143:H-	eco	O143						
Escherichia coli serotype O144:H-	eco	O144						
Escherichia coli serotype O145:H-	eco	O145						
Escherichia coli serotype O147:H19	eco	O147						
Escherichia coli serotype O148:H28	eco	O148						
Escherichia coli serotype O149:H10	eco	O149						
Escherichia coli serotype O152:H-	eco	O152						
Escherichia coli serotype O157:H-	eco	O157						
Escherichia coli serotype O157:H7	eco	O157						
Escherichia coli serotype O158:H23	eco	O158						
Escherichia coli serotype O159:H-	eco	O159						
Escherichia coli serotype O159:H20	eco	O159						
Escherichia coli serotype O167:H4	eco	O167						
Escherichia coli serotype O167:H5	eco	O167						
Escherichia coli serotype O172:H-	eco	O172						
Escherichia coli serotype O173:H-	eco	O173						
Salmonella Aachen	sal	J		17	z35	1,6		
Salmonella Aarhus	sal	K		18	z4,z23	z64		
Salmonella Aba	sal	C2,3		6,8	i	e,n,z15		
Salmonella Abadina	sal	M		28	g,m	[e,n,z15]		
Salmonella Abaetetuba	sal	F		11	k	1,5		
Salmonella Aberdeen	sal	F		11	i	1,2		
Salmonella Abidjan	sal	Q		39	b	l,w		
Salmonella Ablogame	sal	I		16	l,z13,z28	z6		
Salmonella Abobo	sal	I		16	i	z6		
Salmonella Abony	sal	B		.1.,4,[5],12,.27.	b	e,n,x		
Salmonella Abortusbovis (old serotype)	sal	B					o	Abony
Salmonella Abortuscanis (old serotype)	sal	B		4,5,12	b	Rz5	o	4,5,12:b:Rz5, Paratyphi B
Salmonella Abortusequi	sal	B		4,12	-	e,n,x		
Salmonella Abortusovis	sal	B		4,12	c	1,6		
Salmonella Abuja	sal	F		11	g,m	1,5		
Salmonella Accra	sal	E4		1,3,19	b	z6		
Salmonella Ackwepe	sal	D2		9,46	l,w	-		
Salmonella Acres (old serotype)	sal	G1,2	II	.1.,13,23	b	[1,5]:z42	o	II .1.,13,23:b:[1,5]:z42
Salmonella Adabraka	sal	E1		3,10	z4,z23	[1,7]		
Salmonella Adamstown	sal	M		28	k	1,6		
Salmonella Adamstua	sal	F		11	e,h	1,6		
Salmonella Adana	sal	U		43	z10	1,5		
Salmonella Adelaide	sal	O		35	f,g	-		
Salmonella Adeoyo	sal	I		16	g,m,[t]	-		
Salmonella Aderike	sal	M		28	z38	e,n,z15		
Salmonella Adime	sal	C1,4		6,7	b	1,6		
Salmonella Adjame	sal	G1,2		13,23	r	1,6		
Salmonella Aequatoria	sal	C1,4		6,7	z4,z23	e,n,z15		
Salmonella Aesch	sal	C2,3		6,8	z60	1,2		
Salmonella Aflao	sal	H		1,6,14,25	l,z28	e,n,x		
Salmonella Africana	sal	B		4,12	r,i	l,w		
Salmonella Afula	sal	C1,4		6,7	f,g,t	e,n,x		
Salmonella Agama	sal	B		4,12	i	1,6		
Salmonella Agbara	sal	I		16	i	1,6		
Salmonella Agbeni	sal	G1,2		.1.,13,23	g,m,[t]	-		
Salmonella Agege	sal	E1		3,10	c	e,n,z15		
Salmonella Ago	sal	N		30	z38	-		
Salmonella Agodi	sal	O		35	g,t	-		
Salmonella Agona	sal	B		.1.,4,[5],12	f,g,s	[1,2]		
Salmonella Agoueve	sal	G1,2		13,22	z29	-		
Salmonella Ahanou	sal	J		17	i	1,7		
Salmonella Ahepe	sal	U		43	z35	1,6		
Salmonella Ahmadi	sal	E4		1,3,19	d	1,5		
Salmonella Ahoutoue	sal	S		41	z35	1,6		
Salmonella Ahuza	sal	U		43	k	1,5		
Salmonella Ajiobo	sal	G1,2		13,23	z4,z23	-		
Salmonella Akanji	sal	C2,3		6,8	r	1,7		
Salmonella Akuafo	sal	I		16	y	1,6		
Salmonella Alabama	sal	D1		9,12	c	e,n,z15		
Salmonella Alachua	sal	O		35	z4,z23	-		
Salmonella Alagbon	sal	C2,3		8	y	1,7		
Salmonella Alamo	sal	C1,4		6,7	g,z51	1,5		
Salmonella Albany	sal	C2,3		8,.20.	z4,z24	-		
Salmonella Albert	sal	B		4,12	z10	e,n,x		
Salmonella Albuquerque	sal	H		1,6,14,24	d	z6		
Salmonella Alexander (old serotype)	sal	E1	II	3,10	z	1,5	o	
Salmonella Alexanderplatz	sal	X		47	z38	-		
Salmonella Alexanderpolder	sal	C2,3		8	c	l,w		
Salmonella Alfort	sal	E1		3,10	f,g	e,n,x		
Salmonella Alger	sal	P		38	l,v	1,2		
Salmonella Alkmaar	sal	E4		1,3,19	a	l,w		
Salmonella Allandale	sal	R		.1.,40	k	1,6		
Salmonella Allerton	sal	E1		3,10	b	1,6		
Salmonella Alma	sal	Q		39	i	e,n,z15		
Salmonella Alminko	sal	C2,3		8,.20.	g,s,t	-		
